"Group","Name","SizeMB","Path","Source"
"mission","mission_m001_blood_pit_hero.jpg","0.41","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m001_blood_pit_hero.jpg","블러드핏.png"
"mission","mission_m002_shell_talker_hero.jpg","0.42","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m002_shell_talker_hero.jpg","쉘토커.png"
"mission","mission_m003_unclassified_trace_hero.jpg","0.38","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m003_unclassified_trace_hero.jpg","강도윤 정찰.jpg"
"mission","mission_m004_mannequin_encounter_hero_v2.jpg","0.32","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m004_mannequin_encounter_hero_v2.jpg","생성: 마네킹 고화질 참조"
"mission","mission_m005_brood_drone_corridor_hero_v2.jpg","0.43","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m005_brood_drone_corridor_hero_v2.jpg","생성: 브루드 드론 고화질 참조"
"mission","mission_m006_spore_phantom_hero.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m006_spore_phantom_hero.jpg","안개 너머 식별되지 않는 무언가.png"
"mission","mission_m007_decisive_strike_hero.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m007_decisive_strike_hero.jpg","기지점거.jpg"
"mission","mission_m008_observation_stop_hero.jpg","0.29","C:\Users\Administrator\TIU_CARD\assets\images\missions\mission_m008_observation_stop_hero.jpg","오라클 삭제 시도.jpg"
"core","card_core_jaehyuk_overnight_data.jpg","0.33","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_jaehyuk_overnight_data.jpg","밤새고 자료를 모아온 임재혁.jpg"
"core","card_core_haeun_usb.jpg","0.56","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_haeun_usb.jpg","서하은 전출 후 USB.png"
"core","card_core_haeun_surveillance.jpg","0.42","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_haeun_surveillance.jpg","서하은을 지켜보는 누군가.jpg"
"core","card_core_oracle_loyalty.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_oracle_loyalty.jpg","오라클 충성.jpg"
"core","card_core_weber_arrival.jpg","0.37","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_weber_arrival.jpg","군용트럭에서 내리는 웨버.jpg"
